2025-04-09 22:26:28,940 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-10 11:48:41,414 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-10 11:50:31,776 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 10:07:25,377 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 10:39:33,592 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 10:47:50,971 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 12:11:10,097 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 12:13:30,956 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 14:15:54,900 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 14:16:20,902 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 14:18:47,751 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 14:24:47,852 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 14:37:14,835 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 15:05:02,851 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 15:18:06,285 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 15:18:38,463 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:22:25,996 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 15:23:19,367 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 15:23:20,789 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-22 15:29:39,501 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:31:35,695 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:34:44,846 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:35:42,477 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:47:04,328 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:49:29,383 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 15:50:26,772 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:53:33,653 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 15:54:00,018 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 15:57:50,736 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 15:58:33,573 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 16:06:34,771 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 16:08:50,898 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 16:09:05,149 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-22 16:09:05,199 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-22 16:11:02,821 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 16:11:25,104 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 16:11:37,435 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-22 16:11:37,474 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-22 16:13:17,693 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 16:13:59,170 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 16:14:28,631 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-22 16:14:28,688 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-22 16:14:33,753 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-22 16:15:36,474 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 16:15:49,994 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 16:16:10,755 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-22 16:16:10,844 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-22 16:16:15,906 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-22 16:17:05,156 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-22 16:17:25,577 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-22 16:17:54,199 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-22 16:17:54,210 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-22 16:17:59,320 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-28 11:33:20,284 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-04-28 11:33:50,193 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 11:34:06,784 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-28 11:34:06,810 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-28 11:34:11,903 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-28 11:34:11,904 | MainThread   | [INFO    ] | perform_observation_loop|: Received 0 results
2025-04-28 11:38:15,460 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-28 11:39:04,816 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 11:39:35,596 | MainThread   | [INFO    ] | notification_handler|: DONE notification (ignored until data arrived)
2025-04-28 11:41:25,150 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-04-28 11:41:45,889 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 11:42:58,882 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 11:43:21,202 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-28 11:43:21,220 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-28 11:43:21,291 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,292 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,322 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,323 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,324 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,351 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,384 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,413 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,413 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,442 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,443 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,443 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,471 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,501 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,531 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,532 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:43:21,562 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
