2025-04-22 15:18:21,622 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=3, releaselevel='final', serial=0)
2025-04-22 15:18:21,622 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.7.4-arm64-arm-64bit
2025-04-22 15:18:21,623 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:18:26,015 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:19:01,434 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:22:38,389 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=3, releaselevel='final', serial=0)
2025-04-22 15:22:38,389 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.7.4-arm64-arm-64bit
2025-04-22 15:22:38,389 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:22:57,381 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:23:43,260 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:23:46,390 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:30:09,596 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:31:12,442 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:31:24,653 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:31:27,683 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:32:05,757 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:34:18,867 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:34:22,075 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:34:56,144 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:35:30,469 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:35:33,597 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:35:54,465 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:46:52,007 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:46:55,000 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:47:34,395 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:49:47,105 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=3, releaselevel='final', serial=0)
2025-04-22 15:49:47,105 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.7.4-arm64-arm-64bit
2025-04-22 15:49:47,106 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:50:13,356 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:50:16,782 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:50:56,778 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:53:47,029 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=3, releaselevel='final', serial=0)
2025-04-22 15:53:47,029 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.7.4-arm64-arm-64bit
2025-04-22 15:53:47,029 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:53:50,360 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:58:01,083 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=3, releaselevel='final', serial=0)
2025-04-22 15:58:01,083 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.7.4-arm64-arm-64bit
2025-04-22 15:58:01,083 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:58:10,322 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:58:12,231 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 15:58:16,961 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 15:58:23,881 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-22 15:59:16,941 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-22 16:08:32,468 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=3, releaselevel='final', serial=0)
2025-04-22 16:08:32,470 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.7.4-arm64-arm-64bit
2025-04-22 16:08:32,472 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-22 16:08:35,660 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
